Category,ConvertedObjects,NotConvertedObjects,PartiallyConvertedObjects,Total,ProcessedLoC,NotProcessedLOC,ErrorParsingLOC,TotalParsingErrors,TotalConversionErrors,ErrorConversionLOC,TotalLoc
Fallback Option,36,0,0,36,36,0,0,0,0,0,0
Table Journal Option,36,0,0,36,36,0,0,0,0,0,0
Table After Journal Option,36,0,0,36,36,0,0,0,0,0,0
Checksum Option,36,0,0,36,36,0,0,0,0,0,0
Table Merge Block Ratio Option,36,0,0,36,36,0,0,0,0,0,0
Exact Numeric Type,113,0,0,113,113,0,0,0,0,0,0
Function Expr,28,1,0,29,28,1,0,0,0,0,0
Character Set Phrase,141,0,0,141,141,0,0,0,0,0,0
Interval Type,15,5,0,20,15,5,0,0,0,0,0
From Clause,16,0,0,16,25,0,0,0,0,0,0
Teradata Select,17,0,0,17,122,0,0,0,0,0,0
Views,12,0,0,12,123,0,0,0,0,0,0
Tables,39,0,0,39,648,0,0,0,0,0,0
Where Clause,7,0,0,7,24,0,0,0,0,0,0
Var Basic Type,21,0,0,21,21,0,0,0,0,0,0
Check Column Constraint,6,0,0,6,6,0,0,0,0,0,0
Format Data Type Attribute,26,0,0,26,26,0,0,0,0,0,0
Union,3,0,0,3,3,0,0,0,0,0,0
Number Type,27,0,0,27,27,0,0,0,0,0,0
Compress Column Constraint,28,0,0,28,28,0,0,0,0,0,0
Primary Key,23,0,0,23,23,0,0,0,0,0,0
Partition By,3,0,0,3,3,0,0,0,0,0,0
Null Predicate,1,0,0,1,4,0,0,0,0,0,0
Concatenation,2,0,0,2,2,0,0,0,0,0,0
Natural Qualified Join,0,1,0,1,0,3,0,0,0,0,0
